ISIN;Ticker;Name;Sektor;Industrie;Land;Datum;Währung;Schlusskurs;Dividende;Gesamteindruck;Marktkapitalisierung (in Milliarden USD);Zielpreis;Bear Market Factor;Bad News Factor;Performance dieses Jahr;Sensitivität;Gewinnrevisionen;Potenzial;MF Tech. Trend;4W Rel. Perf;Vergleichsindex;KGV;LF Wachstum;Eigenkapitalrendite;Operative Gewinnmarge;Eigenmittel;Burchwert zu Preis;Anzahl Sterne;Gesamteindruck Marktumfeld;Umsatz  (in Mio);Reingewinn (in Mio);Reingewinn %;Current Ratio;Langfristiges Eigenkapital;Umsatz zu Aktien;Cash flow zu Umsatz;Ausbezahlte Dividenden (in Mio)
IE0002424939;DCC;DCC;Öl & Gas Produzenten;Energie;Grossbritannien ;02.08.2024;GBp;5155;4.08;neutral;6.6;5782.68;1;137;-10.78%;mittel;negativ;stark unterbewertet;negativ;-4.81%;STOXX600;9.5;8.00%;11%;3%;33%;54%;1;negativ;19859;326;2%;1.18;20%;209.41%;3.43%;189
DE000A2E4K43;DHER;DELIVERY HERO;Nahrungsmittel;Einzel- & Grosshandel;Deutschland;02.08.2024;EUR;19.38;0;eher negative;6.44;17.1;182;402;-22.51%;hoch;negativ;leicht unterbewertet;negativ;-5.60%;STOXX600;14.2;126.00%;-139%;-9%;15%;24%;1;neutral;9942;-2298;-23%;0.96;49%;92.15%;-18.33%;0
DK0060738599;WDH;DEMANT;Medizinische Geräte;Gesundheitswesen;Dänemark;02.08.2024;DKK;262;0;neutral;8.18;306.22;34;199;-11.49%;mittel;negativ;leicht unterbewertet;negativ;-9.52%;STOXX600;15.2;16.00%;19%;18%;30%;14%;1;positiv;22549;1795;8%;1.37;40%;73.82%;13.88%;0
GB0002652740;DWV;DERWENT LONDON;Immobilien Investments;Finanzdienstleistungen;Grossbritannien ;02.08.2024;GBp;2298;3.56;neutral;3.31;2488.15;42;187;-2.63%;mittel;negativ;fairer Preis;negativ;5.42%;STOXX600;20.3;12.10%;-14%;57%;70%;132%;2;neutral;268;-476;-178%;NULL;25%;5.33%;NULL;89
DE0005140008;DBK;DEUTSCHE BANK;Banken;Geldinstitute;Deutschland;02.08.2024;EUR;13.17;6.59;neutral;30.22;15.65;43;152;6.55%;mittel;negativ;leicht unterbewertet;negativ;-10.89%;STOXX600;4.5;8.40%;7%;21%;5%;262%;1;negativ;60635;4274;7%;0.87;9%;4.62%;10.25%;610
DE0005810055;DB1;DEUTSCHE BOERSE;Wertpapierdienstleistungen;Finanzdienstleistungen;Deutschland;02.08.2024;EUR;184.9;2.23;neutral;37.13;198.24;-31;237;-0.86%;mittel;positiv;fairer Preis;positiv;-0.51%;STOXX600;15.8;10.70%;18%;34%;4%;28%;3;neutral;7836;1724;22%;NULL;3%;3.29%;26.81%;662
DE0008232125;LHA;DEUTSCHE LUFTHANSA;Fluggesellschaften;Reisen & Freizeit;Deutschland;02.08.2024;EUR;5.56;4.8;eher negative;7.33;5.12;83;218;-30.89%;hoch;negativ;leicht unterbewertet;negativ;-0.71%;STOXX600;4.4;10.80%;17%;7%;21%;100%;2;negativ;35442;1673;5%;0.79;24%;76.78%;11.24%;25
DE0005552004;DPW;DEUTSCHE POST;Transportdienstleistungen;Industrie;Deutschland;02.08.2024;EUR;37.07;5.14;neutral;48.58;41.59;55;178;-17.36%;mittel;positiv;leicht unterbewertet;negativ;-1.28%;STOXX600;9.6;11.00%;16%;7%;32%;42%;2;negativ;81758;3677;4%;0.95;25%;116.60%;9.97%;2205
DE0005557508;DTE;DEUTSCHE TELEKOM;Integrale Telekommunikation;Telekommunikation;Deutschland;02.08.2024;EUR;24.12;3.74;positive;129.07;25.69;-68;155;10.90%;niedrig;negativ;stark unterbewertet;positiv;5.15%;STOXX600;10.8;11.10%;31%;22%;18%;53%;3;positiv;111970;17788;16%;1.01;41%;35.72%;36.60%;4027
GB0002374006;DEO;DIAGEO;Wein & Spirituosen;Nahrungsmittel & Getränke;Grossbritannien ;02.08.2024;GBp;2380;3.6;neutral;67.92;2290.75;18;218;-16.67%;mittel;negativ;leicht unterbewertet;negativ;-0.83%;STOXX600;17.1;10.20%;48%;34%;22%;10%;1;neutral;17113;3734;22%;1.63;43%;48.04%;24.72%;1761
IT0003492391;DIA;DIASORIN;Biotechnologie;Gesundheitswesen;Italien;02.08.2024;EUR;101.55;1.12;neutral;5.99;91.04;13;231;8.91%;mittel;positiv;leicht überbewertet;positiv;7.81%;STOXX600;20.5;15.40%;10%;21%;48%;31%;3;positiv;1148;160;14%;3.07;34%;35.75%;25.84%;59
PLDINPL00011;DNP;DINO POLSKA SA;Nahrungsmittel;Einzel- & Grosshandel;Polen;02.08.2024;PLN;340.9;0;neutral;8.53;405.56;42;278;-26.00%;mittel;negativ;stark unterbewertet;negativ;-10.81%;STOXX600;14.4;17.60%;25%;7%;54%;12%;1;NULL;25666;1405;5%;0.84;8%;247.32%;6.87%;0
GB0001826634;DPLM;DIPLOMA;Industrielieferanten;Industrie;Grossbritannien ;02.08.2024;GBp;4074;1.52;neutral;7.48;3800.79;28;111;13.74%;mittel;negativ;leicht überbewertet;negativ;2.56%;STOXX600;23.1;16.80%;13%;16%;55%;22%;1;negativ;1200;118;10%;2.06;24%;74.22%;16.24%;71
GB00BY9D0Y18;DLG;DIRECT LINE;Universalversicherungen;Versicherungen;Grossbritannien ;02.08.2024;GBp;178.4;6.95;neutral;3.08;210.7;-45;300;-1.95%;mittel;negativ;leicht unterbewertet;negativ;-5.96%;STOXX600;7;22.30%;9%;8%;34%;102%;1;neutral;3929;206;5%;0.46;5%;55.56%;NULL;17
CH0126673539;DKSH;DKSH HOLDING;Dienstleister für Unternehmen;Industrie;Schweiz ;02.08.2024;CHF;67.1;3.51;neutral;5.13;69.62;-35;140;14.90%;mittel;positiv;fairer Preis;positiv;11.84%;STOXX600;16.5;12.00%;11%;3%;31%;44%;4;negativ;11066;182;2%;1.4;13%;202.26%;2.84%;140
NO0010161896;DNBNOR;DNB BANK;Banken;Geldinstitute;Norwegen;02.08.2024;NOK;218.5;7.69;neutral;30.31;228.48;-13;143;1.16%;mittel;positiv;stark unterbewertet;positiv;5.38%;STOXX600;8.9;2.90%;15%;50%;7%;75%;4;negativ;184356;38166;21%;0.78;22%;5.36%;NULL;19316
GB00B1VNSX38;DRX;DRAX GROUP;Stromversorger;Versorger;Grossbritannien ;02.08.2024;GBp;642;4.23;neutral;3.18;526.24;48;265;31.10%;mittel;positiv;tark überbewertet;positiv;30.96%;STOXX600;9.2;-5.30%;29%;10%;33%;105%;3;positiv;7842;562;7%;1.12;21%;129.88%;10.06%;86
GB0008220112;SMDS;DS SMITH PLC;Container & Verpackungen;Industrie;Grossbritannien ;02.08.2024;GBp;443.8;4.07;eher positive;8.01;486.48;-75;230;44.42%;niedrig;negativ;stark unterbewertet;positiv;7.72%;STOXX600;12;9.70%;10%;9%;43%;82%;3;negativ;6822;385;6%;0.86;24%;73.72%;11.80%;247
CH1216478797;DSFIR;DSM-FIRMENICH LTD;Spezialitäten-Chemie;Chemie;Holland;02.08.2024;EUR;117.1;2.16;neutral;33.73;122.11;-7;184;27.28%;mittel;negativ;fairer Preis;positiv;11.74%;STOXX600;27.1;26.50%;-3%;0%;66%;94%;3;positiv;10627;-652;-6%;1.96;12%;30.79%;6.16%;582
DK0060079531;DSV;DSV;Transportdienstleistungen;Industrie;Dänemark;02.08.2024;DKK;1210;0.61;neutral;37.41;1288.78;25;209;2.07%;mittel;positiv;leicht überbewertet;positiv;8.93%;STOXX600;16.1;14.00%;18%;12%;47%;28%;3;negativ;149916;12315;8%;1.11;23%;101.91%;NULL;1424
DE000ENAG999;EOAN;E ON SE;Multiversorger;Versorger;Deutschland;02.08.2024;EUR;12.58;4.47;neutral;35.64;13.4;-47;174;3.54%;mittel;negativ;fairer Preis;positiv;6.39%;STOXX600;11.7;4.30%;4%;19%;11%;44%;3;positiv;93686;517;1%;0.81;25%;75.34%;4.11%;1331
GB00B7KR2P84;EZJ;EASYJET;Fluggesellschaften;Reisen & Freizeit;Grossbritannien ;02.08.2024;GBp;429;3.17;neutral;4.16;502.68;40;296;-15.88%;mittel;negativ;leicht unterbewertet;negativ;-0.87%;STOXX600;5.7;9.90%;12%;9%;28%;87%;2;negativ;8171;324;4%;1;23%;83.03%;12.20%;0
FR0010908533;EDEN;EDENRED SE;Dienstleister für Unternehmen;Industrie;Frankreich;02.08.2024;EUR;36.52;3.51;neutral;10.14;34.76;67;262;-32.55%;mittel;negativ;stark unterbewertet;negativ;-6.37%;STOXX600;12.4;16.10%;39%;34%;-5%;-5%;1;negativ;2311;267;12%;0.92;27%;17.38%;19.90%;249
PTEDP0AM0009;EDP;EDP ENERGIAS DE PORTUGAL;Stromversorger;Versorger;Portugal;02.08.2024;EUR;3.84;5.21;eher positive;17.23;4.13;-30;244;-15.68%;mittel;positiv;stark unterbewertet;positiv;10.94%;STOXX600;12.6;6.40%;8%;17%;20%;61%;4;positiv;16202;952;6%;1.07;32%;28.58%;NULL;NULL
ES0127797019;EDPR;EDP RENOVAVEIS;Strom Alternativ;Versorger;Spanien;02.08.2024;EUR;14.73;1.44;eher positive;16.39;16.37;20;307;-20.49%;mittel;positiv;leicht unterbewertet;positiv;14.15%;STOXX600;22.1;24.90%;3%;53%;37%;58%;4;positiv;2239;309;14%;0.65;23%;7.45%;NULL;66
FR0000130452;FGR;EIFFAGE;Anlagenbau;Baugewerbe & Werkstoffe;Frankreich;02.08.2024;EUR;90.24;4.87;neutral;9.49;99.35;45;155;-6.99%;mittel;negativ;leicht unterbewertet;negativ;3.84%;STOXX600;7.1;6.90%;16%;11%;17%;71%;2;neutral;22369;1013;5%;1;35%;59.14%;10.81%;350
SE0016589188;ELUXB;ELECTROLUX AB;Haushaltsprodukte;Privat- & Haushaltswaren;Schweden ;02.08.2024;SEK;89.04;3.31;eher negative;2.34;79.66;83;235;-17.63%;hoch;negativ;leicht unterbewertet;negativ;7.36%;STOXX600;7.5;1300.40%;-46%;-2%;9%;40%;2;negativ;134451;-5227;-4%;0.92;27%;111.99%;0.78%;0
SE0000163628;EKTAB;ELEKTA AB;Medizinische Geräte;Gesundheitswesen;Schweden ;02.08.2024;SEK;64.3;4.19;eher positive;2.37;78.32;17;368;-21.89%;mittel;positiv;stark unterbewertet;negativ;0.72%;STOXX600;12.3;11.80%;12%;11%;34%;37%;3;positiv;18119;1302;7%;1;19%;57.68%;10.60%;917
BE0003822393;ELI;ELIA GROUP;Stromversorger;Versorger;Belgien;02.08.2024;EUR;99.3;2.08;eher positive;7.61;106.94;19;273;-12.36%;mittel;positiv;leicht unterbewertet;positiv;17.42%;STOXX600;15.5;14.20%;7%;18%;24%;55%;4;positiv;3843;324;8%;0.67;50%;19.82%;22.95%;140
FR0012435121;ELIS;ELIS;Dienstleister für Unternehmen;Industrie;Frankreich;02.08.2024;EUR;20.4;2.41;neutral;5.29;22.48;30;135;7.99%;mittel;negativ;leicht unterbewertet;negativ;3.25%;STOXX600;10.1;8.20%;8%;12%;37%;79%;2;negativ;4309;263;6%;0.83;34%;46.33%;26.45%;62
FI0009007884;ELISA;ELISA;Integrale Telekommunikation;Telekommunikation;Finnland;02.08.2024;EUR;43.76;5.5;eher positive;7.53;46.8;-30;172;4.51%;mittel;negativ;leicht unterbewertet;positiv;5.62%;STOXX600;16.9;10.30%;29%;22%;41%;19%;3;positiv;2181;375;17%;0.98;34%;69.78%;29.78%;344
CH0016440353;EMSN;EMS-CHEMIE HOLDING;Spezialitäten-Chemie;Chemie;Schweiz ;02.08.2024;CHF;717;2.65;neutral;19.71;772.57;7;152;5.29%;mittel;positiv;leicht überbewertet;negativ;-1.01%;STOXX600;29.2;18.90%;26%;23%;80%;11%;1;positiv;2189;458;21%;4.69;0%;101.01%;23.17%;468
ES0130960018;ENG;ENAGAS;Gasversorger;Versorger;Spanien;02.08.2024;EUR;14.02;7.13;neutral;3.92;12.87;-6;190;-8.16%;mittel;positiv;fairer Preis;positiv;12.17%;STOXX600;15.8;2.40%;11%;44%;35%;75%;4;positiv;914;343;38%;1.04;40%;10.75%;67.36%;452
ES0130670112;ELE;ENDESA;Stromversorger;Versorger;Spanien;02.08.2024;EUR;18.42;6.33;eher positive;20.61;20.06;-32;186;-0.22%;mittel;positiv;leicht unterbewertet;positiv;6.21%;STOXX600;10.3;14.20%;11%;20%;17%;36%;4;positiv;25070;742;3%;0.85;23%;60.73%;10.01%;1678
IT0003128367;ENEL;ENEL;Stromversorger;Versorger;Italien;02.08.2024;EUR;6.49;7.15;neutral;71.75;7.03;-13;187;-3.63%;mittel;positiv;leicht unterbewertet;negativ;3.09%;STOXX600;9.3;12.70%;15%;20%;13%;37%;3;positiv;91374;3788;4%;0.79;35%;46.80%;11.10%;5135
FR0010208488;ENGI;ENGIE;Multiversorger;Versorger;Frankreich;02.08.2024;EUR;14.92;8.05;positive;38.01;16.08;-51;179;-6.27%;niedrig;positiv;stark unterbewertet;positiv;10.17%;STOXX600;9.1;0.10%;8%;8%;14%;69%;4;positiv;82565;2128;3%;0.99;21%;42.42%;15.92%;4067
IT0003132476;ENI;ENI;Öl & Gas Produzenten;Energie;Italien;02.08.2024;EUR;14.22;7.2;eher positive;51.26;15.54;-54;165;-7.38%;niedrig;negativ;stark unterbewertet;positiv;0.41%;STOXX600;7.1;3.40%;10%;11%;33%;97%;3;negativ;93717;4771;5%;1.3;21%;64.03%;13.07%;3046
IM00B5VQMV65;GVC;ENTAIN;Glücksspiel;Reisen & Freizeit;Grossbritannien ;02.08.2024;GBp;539.6;3.61;eher negative;4.52;512.62;93;353;-45.73%;hoch;negativ;leicht unterbewertet;negativ;-10.21%;STOXX600;7.4;20.80%;-41%;11%;21%;36%;1;negativ;4770;-929;-19%;0.56;30%;43.96%;-7.81%;107
SE0015658109;EPI;EPIROC AB;Gewerbefahrzeuge;Industrie;Schweden ;02.08.2024;SEK;187.45;2.19;neutral;21.44;180.42;-4;175;-7.29%;mittel;negativ;fairer Preis;negativ;-7.63%;STOXX600;19.7;15.00%;26%;22%;54%;22%;1;negativ;60343;9431;16%;2.42;17%;89.02%;20.04%;4103
SE0012853455;EQT;EQT AB;Vermögensverwalter;Finanzdienstleistungen;Schweden ;02.08.2024;SEK;313.4;1.46;eher positive;39.57;374.96;56;225;9.96%;mittel;negativ;stark unterbewertet;negativ;1.58%;STOXX600;17.3;21.80%;2%;34%;65%;20%;2;neutral;23918;1492;6%;NULL;23%;23.33%;26.30%;3420
NO0010096985;STL;EQUINOR;Öl & Gas Produzenten;Energie;Norwegen;02.08.2024;NOK;285;7.36;neutral;73.3;314.55;-33;221;-11.53%;mittel;negativ;stark unterbewertet;negativ;-4.38%;STOXX600;7.7;3.60%;26%;36%;34%;52%;1;negativ;1129433;125630;11%;1.71;17%;77.46%;21.08%;115281
SE0000108656;ERICB;ERICSSON B;Telekommunikationsausrüstung;Technologie;Schweden ;02.08.2024;SEK;71.36;3.96;neutral;22.85;74.68;-43;213;13.07%;mittel;negativ;leicht unterbewertet;positiv;10.35%;STOXX600;12.9;260.80%;-27%;7%;33%;51%;3;negativ;263351;-26446;-10%;1.2;12%;88.66%;6.19%;9104
AT0000652011;EBS;ERSTE GROUP BANK;Banken;Geldinstitute;Oesterreich;02.08.2024;EUR;44.47;6.65;neutral;19.94;48.81;-16;155;21.07%;mittel;positiv;leicht unterbewertet;negativ;1.05%;STOXX600;6.1;4.00%;15%;21%;6%;131%;3;negativ;23191;2899;13%;0.23;17%;6.86%;15.23%;869
FR0000121667;EL;ESSILORLUXOTTICA;Medizinische Geräte;Gesundheitswesen;Frankreich;02.08.2024;EUR;208.4;2.12;eher positive;104.28;218.82;-6;100;14.76%;mittel;positiv;fairer Preis;positiv;6.76%;STOXX600;23.7;20.30%;6%;13%;63%;47%;4;positiv;25395;2289;9%;1;15%;41.96%;20.54%;487
SE0009922164;ESSITYB;ESSITY AB;Produkte für den privaten Bedarf;Privat- & Haushaltswaren;Schweden ;02.08.2024;SEK;305.2;2.75;eher positive;19.72;320.46;-86;204;22.08%;niedrig;positiv;leicht unterbewertet;positiv;13.90%;STOXX600;13.2;11.30%;13%;11%;35%;44%;4;negativ;147147;9554;6%;1.02;22%;72.49%;11.34%;5092
FR0000121121;RF;EURAZEO;Spezialfinanz;Finanzdienstleistungen;Frankreich;02.08.2024;EUR;67.2;4.01;neutral;5.71;78.83;12;220;-6.47%;mittel;negativ;leicht unterbewertet;negativ;-6.63%;STOXX600;3.8;48.30%;23%;85%;83%;153%;1;neutral;2250;1824;81%;NULL;2%;23.04%;81.20%;168
FR0014000MR3;ERF;EUROFINS SCIENTIFIC;Gesundheitsdienstleister;Gesundheitswesen;Frankreich;02.08.2024;EUR;54.38;1.18;eher positive;11.48;59.66;50;243;-7.80%;mittel;positiv;leicht unterbewertet;positiv;24.24%;STOXX600;13.9;13.30%;8%;9%;37%;36%;4;positiv;6515;310;5%;1.45;40%;59.83%;14.96%;192
NL0006294274;ENX;EURONEXT;Wertpapierdienstleistungen;Finanzdienstleistungen;Holland;02.08.2024;EUR;93.15;3.14;eher positive;10.85;99.74;-41;159;18.44%;mittel;positiv;leicht unterbewertet;positiv;6.58%;STOXX600;12.8;10.00%;13%;70%;2%;48%;4;neutral;2218;514;23%;NULL;2%;1.15%;30.82%;237
SE0012673267;EVO;EVOLUTION;Internet;Technologie;Schweden ;02.08.2024;SEK;1002.5;3.4;neutral;20.5;1162.3;64;251;-16.61%;mittel;negativ;stark unterbewertet;negativ;-6.60%;STOXX600;12.4;13.30%;28%;64%;81%;17%;1;negativ;20643;12290;60%;3.07;1%;37.28%;66.47%;4905
DE000EVNK013;EVK;EVONIK INDUSTRIES;Spezialitäten-Chemie;Chemie;Deutschland;02.08.2024;EUR;19;6.16;neutral;9.63;20.51;-25;197;2.70%;mittel;positiv;leicht unterbewertet;negativ;3.41%;STOXX600;9;17.60%;-5%;-1%;42%;103%;3;positiv;15267;-465;-3%;1.45;15%;71.80%;4.15%;545
GB00B19NLV48;EXPN;EXPERIAN;Informatik Dienstleister;Technologie;Grossbritannien ;02.08.2024;GBp;3492;1.48;eher negative;41.67;3198.18;-12;165;9.06%;mittel;negativ;leicht überbewertet;negativ;-2.06%;STOXX600;22.9;16.90%;26%;25%;40%;12%;0;negativ;5649;954;17%;0.7;30%;60.93%;26.96%;406
SE0017832488;BALDB;FASTIGHETS AB BALDER;Immobilienbesitz & Entwicklung;Finanzdienstleistungen;Schweden ;02.08.2024;SEK;80.74;0;neutral;8.66;69.57;22;215;12.89%;mittel;positiv;leicht überbewertet;positiv;12.65%;STOXX600;15.2;8.80%;-8%;70%;32%;106%;3;neutral;11944;-6746;-56%;NULL;49%;4.71%;-55.89%;0
NL0011585146;RACE;FERRARI;Fahrzeugbau;Automobile & Zubehör;Italien;02.08.2024;EUR;392.8;0.73;neutral;102.98;357.72;-40;264;28.70%;mittel;negativ;leicht überbewertet;positiv;5.55%;STOXX600;40;25.30%;41%;27%;38%;6%;2;negativ;5970;1252;21%;1.43;22%;74.15%;32.07%;329
NL0015001FS8;FER;FERROVIAL;Anlagenbau;Baugewerbe & Werkstoffe;Spanien;02.08.2024;EUR;36.18;2.14;neutral;28.81;39.01;-17;148;9.57%;mittel;positiv;leicht überbewertet;negativ;2.34%;STOXX600;32.1;26.00%;12%;11%;14%;15%;2;neutral;8514;460;5%;1.21;40%;32.35%;10.11%;136
IT0000072170;FBK;FINECOBANK;Banken;Geldinstitute;Italien;02.08.2024;EUR;14.67;5.02;neutral;10.03;16.4;35;186;7.99%;mittel;negativ;leicht unterbewertet;negativ;7.64%;STOXX600;14.6;7.40%;28%;50%;7%;26%;2;negativ;1792;609;34%;0.15;3%;5.38%;35.50%;322
DK0010234467;FLS;FLSMIDTH & CO A/S;Baustoffe & Einbauten;Baugewerbe & Werkstoffe;Dänemark;02.08.2024;DKK;326.4;2.66;neutral;2.81;372.27;52;181;13.65%;mittel;negativ;leicht unterbewertet;negativ;-3.05%;STOXX600;11.1;19.70%;5%;4%;40%;67%;1;neutral;24106;497;2%;1.08;7%;89.25%;NULL;170
CH0319416936;FHZN;FLUGHAFEN ZURICH;Transportwesen;Industrie;Schweiz ;02.08.2024;CHF;194.9;3.02;neutral;7.17;210.28;7;152;10.99%;mittel;positiv;fairer Preis;negativ;1.69%;STOXX600;15.5;10.80%;11%;32%;55%;52%;3;negativ;1236;304;25%;1.59;24%;24.15%;45.61%;108
IE00BWT6H894;FLTR;FLUTTER ENTERTAINMENT;Glücksspiel;Reisen & Freizeit;Grossbritannien ;02.08.2024;GBp;14515;0;neutral;34.42;16598.35;23;261;4.88%;mittel;negativ;leicht unterbewertet;negativ;-0.35%;STOXX600;17.4;30.00%;-12%;-4%;41%;32%;2;negativ;9485;-983;-10%;0.88;28%;49.08%;0.53%;0
SE0017161243;FNOX;FORTNOX AB;Software;Technologie;Schweden ;02.08.2024;SEK;61.86;0.46;neutral;3.71;69.12;33;326;3.58%;mittel;negativ;fairer Preis;negativ;0.19%;STOXX600;32.4;30.20%;32%;41%;67%;5%;2;negativ;1642;570;35%;1.75;4%;61.92%;44.46%;73
FI0009007132;FORTUM;FORTUM;Strom Alternativ;Versorger;Finnland;02.08.2024;EUR;14.31;6.51;neutral;13.92;15.44;-22;194;9.57%;mittel;negativ;fairer Preis;positiv;4.92%;STOXX600;16.6;2.00%;18%;25%;45%;72%;3;positiv;6711;1514;23%;1.98;24%;35.81%;27.91%;817
FR0000121147;FRVIA;FORVIA;Automobilteile & Zubehör;Automobile & Zubehör;Frankreich;02.08.2024;EUR;9.44;6.55;eher negative;2.18;8.76;211;403;-53.78%;hoch;negativ;leicht unterbewertet;negativ;-13.14%;STOXX600;2.2;20.60%;5%;5%;15%;112%;1;negativ;27248;229;1%;0.98;31%;89.38%;7.69%;0
DE000A0Z2ZZ5;FNTN;FREENET;Integrale Telekommunikation;Telekommunikation;Deutschland;02.08.2024;EUR;25.46;7.39;positive;3.27;28.3;-79;200;0.47%;niedrig;positiv;stark unterbewertet;positiv;4.31%;STOXX600;9.7;7.60%;11%;10%;42%;48%;4;positiv;2627;155;6%;0.66;15%;76.94%;15.41%;200
DE0005785604;FRE;FRESENIUS;Gesundheitsdienstleister;Gesundheitswesen;Deutschland;02.08.2024;EUR;31.34;3.11;eher positive;19.18;33.34;-43;167;11.65%;mittel;positiv;leicht unterbewertet;positiv;12.87%;STOXX600;7.6;11.20%;-3%;6%;42%;120%;4;positiv;22299;-594;-3%;1.34;29%;49.24%;3.96%;550
DE0005785802;FME;FRESENIUS MED.CARE;Gesundheitsdienstleister;Gesundheitswesen;Deutschland;02.08.2024;EUR;34.58;3.51;neutral;10.96;40.08;20;303;-8.90%;mittel;negativ;leicht unterbewertet;negativ;-0.55%;STOXX600;8.7;13.20%;4%;8%;40%;122%;2;positiv;19454;499;3%;1.4;31%;57.34%;10.85%;329
CY0200352116;FRO;FRONTLINE (OSL);Bohranlagen & Dienstleistungen;Energie;Norwegen;02.08.2024;NOK;251.9;14.46;eher positive;5.39;301.92;-105;325;24.15%;niedrig;negativ;leicht unterbewertet;negativ;-3.49%;STOXX600;7.4;3.10%;30%;46%;39%;51%;1;negativ;19050;6939;36%;1.78;54%;31.89%;49.24%;6754
DE000A3E5D64;FPE3;FUCHS PETROLUB AG;Spezialitäten-Chemie;Chemie;Deutschland;02.08.2024;EUR;39.28;3.02;neutral;5.41;43.88;9;175;-2.53%;mittel;negativ;stark unterbewertet;negativ;-4.50%;STOXX600;14.3;12.00%;16%;12%;74%;67%;1;positiv;3541;282;8%;2.37;1%;145.00%;10.73%;144
NL00150003E1;FUR;FUGRO;Bohranlagen & Dienstleistungen;Energie;Holland;02.08.2024;EUR;22.12;3.12;neutral;2.78;25.19;-1;182;27.57%;mittel;positiv;leicht unterbewertet;negativ;-0.26%;STOXX600;7.8;9.40%;20%;11%;52%;66%;3;negativ;2187;255;12%;1.45;14%;87.72%;18.29%;0
CH0360674466;GALE;GALENICA SANTE;Apotheken;Einzel- & Grosshandel;Schweiz ;02.08.2024;CHF;76.45;3.05;eher positive;4.35;80.27;-51;133;5.09%;niedrig;negativ;fairer Preis;positiv;6.71%;STOXX600;19.7;12.60%;19%;5%;48%;41%;3;neutral;3746;285;8%;1.34;22%;123.13%;10.37%;110
PTGAL0AM0009;GALP;GALP ENERGIA;Öl & Gas Produzenten;Energie;Portugal;02.08.2024;EUR;18.71;3.06;eher positive;16.09;21.22;-96;209;40.25%;niedrig;positiv;fairer Preis;negativ;-5.59%;STOXX600;13.4;8.10%;28%;13%;27%;46%;2;negativ;20769;1242;6%;1.54;28%;125.07%;10.54%;422
GB0003718474;GAW;GAMES WORKSHOP;Spielzeuge;Privat- & Haushaltswaren;Grossbritannien ;02.08.2024;GBp;9990;4.3;neutral;4.33;11165.63;35;268;1.22%;mittel;negativ;leicht unterbewertet;negativ;0.02%;STOXX600;20.7;13.00%;57%;37%;72%;8%;1;negativ;471;135;29%;3.61;12%;144.06%;37.00%;137
DE0006602006;G1A;GEA GROUP;Sonstige Industrieprodukte;Industrie;Deutschland;02.08.2024;EUR;39.24;2.81;neutral;7.46;42.3;-4;182;4.11%;mittel;positiv;leicht unterbewertet;positiv;0.02%;STOXX600;12.8;9.90%;16%;11%;40%;39%;4;negativ;5373;393;7%;1.15;3%;90.25%;10.69%;164
CH0030170408;GEBN;GEBERIT AG;Baustoffe & Einbauten;Baugewerbe & Werkstoffe;Schweiz ;02.08.2024;CHF;530.2;2.44;neutral;21.67;494.63;51;112;-1.63%;mittel;positiv;leicht überbewertet;negativ;2.41%;STOXX600;24.6;15.50%;47%;25%;37%;7%;2;neutral;3084;617;20%;1.44;33%;86.72%;24.95%;424
FR0010040865;GFC;GECINA;Immobilien Investments;Finanzdienstleistungen;Frankreich;02.08.2024;EUR;93.15;6.12;eher positive;7.41;102.33;29;182;-15.40%;mittel;positiv;stark unterbewertet;negativ;10.74%;STOXX600;13.3;8.90%;-17%;70%;60%;130%;3;neutral;843;-1787;-212%;NULL;33%;4.78%;-210.56%;391
DK0010272202;GEN;GENMAB;Biotechnologie;Gesundheitswesen;Dänemark;02.08.2024;DKK;1916.5;0;neutral;18.8;1759.24;81;220;-11.07%;hoch;negativ;leicht unterbewertet;positiv;14.01%;STOXX600;16.6;19.40%;14%;34%;90%;22%;3;positiv;16474;4352;26%;13.34;2%;46.68%;28.21%;0
CH1169151003;FI.N;GEORG FISCHER;Industriemaschinen;Industrie;Schweiz ;02.08.2024;CHF;62.6;2.31;neutral;6.09;68.7;50;144;2.45%;mittel;positiv;stark unterbewertet;negativ;6.37%;STOXX600;13.6;14.90%;534%;9%;-1%;-1%;3;negativ;4026;235;6%;1.73;56%;96.80%;8.87%;107
DE000A0LD6E6;GXI;GERRESHEIMER;Medizinische Geräte;Gesundheitswesen;Deutschland;02.08.2024;EUR;93.4;1.57;eher positive;3.52;114.09;-4;329;-1.01%;mittel;positiv;stark unterbewertet;negativ;-3.34%;STOXX600;12.2;17.00%;8%;11%;41%;48%;2;positiv;1990;116;6%;0.89;19%;57.08%;15.01%;45
SE0000202624;GETIB;GETINGE AB;Medizinische Geräte;Gesundheitswesen;Schweden ;02.08.2024;SEK;198.55;2.52;eher positive;5.16;225.19;-1;300;-11.48%;mittel;negativ;stark unterbewertet;positiv;12.43%;STOXX600;15.2;14.30%;8%;12%;55%;53%;3;positiv;31827;2412;8%;1.26;9%;57.76%;14.15%;1158
FR0010533075;GET;GETLINK;Transportwesen;Industrie;Frankreich;02.08.2024;EUR;16.11;3.91;neutral;9.5;15;18;110;-2.75%;mittel;positiv;leicht überbewertet;positiv;6.63%;STOXX600;26;15.30%;13%;37%;27%;28%;3;negativ;1829;326;18%;3.18;59%;20.26%;NULL;271
